artist1.x,artist,track,url,artist1.y,birth,death
Francis Poulenc,Francis Poulenc (1899-1963),Nocturnes n°7 en mi majeur,https://open.spotify.com/track/7mquylOh2B6j5YiU36CP1m,Francis Poulenc,1899,1963
György Ligeti,György Ligeti (1923-2006),"Musica ricercata: No. 7, Cantabile, molto legato",https://open.spotify.com/track/3mWP6hxaJJUwrq3XPrL5Io,György Ligeti,1923,2006
Hans Werner Henze,Hans Werner Henze (1926-2012),Fantasia For Strings: 4. Allegro moderato - Meno mosso,https://open.spotify.com/track/7bXOSZeGnIaeXg54KXxozN,Hans Werner Henze,1926,2012
Léonin,Léonin (1135-1201),Alleluya. Non vos relinquam orphanos,https://open.spotify.com/track/6th22FzR0JsEkj4Yy4WkKE,Léonin,1135,1201
Orlando Gibbons,Orlando Gibbons (1583-1625),This Is the record of John,https://open.spotify.com/track/6RBrvlIDz6AhFs0qkTPriB,Orlando Gibbons,1583,1625
Antoine Brumel,Antoine Brumel (1460-1512),Du tout plongiet/Fors seulement,https://open.spotify.com/track/4GeINy8JYsHPofZZR36zyN,Antoine Brumel,1460,1512
Johann Sebastian Bach,Johann Sebastian Bach (1685-1750),"Violin Partita No. 3 in E Major, BWV 1006: I. Preludio",https://open.spotify.com/track/2sqhid2MBYJCZWPrLjsUbP,Johann Sebastian Bach,1685,1750
Anton Bruckner,Anton Bruckner (1824-1896),"Symphony No. 4 in E-Flat Major, WAB 104, ""Romantic"": I. Bewegt, nicht zu schnell - Live",https://open.spotify.com/track/2TAmVyyPPoSwdMckJp4I8f,Anton Bruckner,1824,1896
Béla Bartók,Béla Bartók (1881-1945),"Out Doors, BB 89, Sz. 81 - Volume 2: 4. The Night's Music",https://open.spotify.com/track/66to0qDs0qnH0m4I0VWDW0,Béla Bartók,1881,1945
Steve Reich,Steve Reich (1936-NA),Music for 18 Musicians: Section I,https://open.spotify.com/track/2yUYtWmxx16bANtxC47xfp,Steve Reich,1936,NA
Hilaire Penet,Hilaire Penet (1501-1550),Virgo prudentissima,https://open.spotify.com/track/78odMgrdUSSVS3JX6p1kiP,Hilaire Penet,1501,1550
